Name,Ort,Webseite,Twitterhandle,Akteurstyp,Experimentierfelder
Spiegel Techlab,Hamburg,https://www.spiegel-techlab.de/,,Innovation Unit,Technology
Spree,Nürnberg,"https://www.iis.fraunhofer.de/de/ff/lv/lok/proj/holodeck.html
https://holodeckvr.co",@HolodeckVR,Startup (Research institute),"Technology, Audience Relationship"
Steady,Berlin,https://steadyhq.com,@joinsteady,Startup,"Technology, Busines Model"
Stefan Ottlitz,Hamburg,,@hierprivat,Individual (intrapreneur),"Technology, Content"
Stern Crime,Hamburg,https://stern-crime.de,@DiGrazia_,Spin-off,Content
Storymachine,Berlin,https://storymachine.com,@jessenphil,Startup,Business Model
Storypepper,Hamburg,Grant,@cutnut_official,Project,Technology
Straight,Berlin,https://www.straight-universe.com,@straight,Startup,Content
Straßengezwitscher,Dresden,https://strassengezwitscher.de,@streetcoverage,Project,Content
tactile.news,Lüneburg,"https://tactile.news, https://miz-babelsberg.de/tactile-news-cms",@FrauCsu,Startup,"Technology, Content"
Tagesspiegel Background,Berlin,https://background.tagesspiegel.de/,@tagesspiegel,Project,"Content, Business Model"
Tagesspiegel Innovation Lab,Berlin,https://www.tagesspiegel.de/themen/presseportal/personalie-tagesspiegel-startet-innovation-lab/23905018.html,"@plateauton
@rka",Innovation Unit,"Technology, Content"
Tagesspiegel Leute,Berlin,https://newsinitiative.withgoogle.com/dnifund/report/telling-local-stories/tagesspiegel-leute-making-local-news-work/,@TspLeute,Project,"Content, Business Model"
Tame,Berlin,tame.it,@FrederikFischer,Startup,Technology
Teresa Bücker,Berlin,https://teresabuecker.de/,@fraeulein_tessa,Individual (entrepreneur journalist),Content
Textunes,Berlin,http://textunes.de,@textunesberlin,Startup,"Technology, Business Model"
The Buzzard,"Leipzig, Esslingen am Neckar",https://thebuzzard.org,"@TheBuzzardOrg
@felixfrie
@Dario_Nassal",Startup,"Content, Business Model"
The Master Graph,München,"https://newsinitiative.withgoogle.com/dnifund/dni-projects/master-graph/, http://www.mediennetzwerk-bayern.de/16605/wissensgraph-die-quelle-der-wahrheit/, ippen-digital.de",@ID_gmbh,Project,Technology
The Shotcaller,Berlin,https://theshotcaller.net,@TheShotcallerGG,Startup,Content
Thomas Knuewer,Düsseldorf,https://kpunktnull.de,@tknuewer,Individual,"Content, Organizational Structure"
Thorsten Pannen,Hamburg,https://zeit.de,@isidorvonaltona,Individual (intrapreneur),"Technology, Content"
Tilo Jung,Berlin,https://jungundnaiv.de,"@TiloJung
@JungNaiv",Individual,"Content, Funding"
Tincon,Berlin,https://tincon.org/,@tincon,Startup,Content
Tobias Köhler,Stuttgart,https://www.swmh.de/,@tokoe,Individual (intrapreneur),Organizational Structure
Traffective,München,https://traffective.com,@traffective,Startup,Technology
Trend Recognition Module for the Listening Center,Düsseldorf,https://newsinitiative.withgoogle.com/dnifund/dni-projects/trend-recognition-module-listening-center/,@rpo_digitale,Project,Technology
